,video_id,time_stamp,speech_present
0,--cB2ZVjpnA,30.0,False
1,--cB2ZVjpnA,30.96,False
2,--cB2ZVjpnA,31.92,False
3,--cB2ZVjpnA,32.88,False
4,--cB2ZVjpnA,33.84,False
5,--cB2ZVjpnA,34.8,False
6,--cB2ZVjpnA,35.76,False
7,--cB2ZVjpnA,36.72,False
8,--cB2ZVjpnA,37.68,False
9,--cB2ZVjpnA,38.64,False
10,--PJHxphWEs,30.0,False
11,--PJHxphWEs,30.96,False
12,--PJHxphWEs,31.92,False
13,--PJHxphWEs,32.88,False
14,--PJHxphWEs,33.84,False
15,--PJHxphWEs,34.8,False
16,--PJHxphWEs,35.76,False
17,--PJHxphWEs,36.72,False
18,--PJHxphWEs,37.68,False
19,--PJHxphWEs,38.64,False
20,--ekDLDTUXA,30.0,False
21,--ekDLDTUXA,30.96,False
22,--ekDLDTUXA,31.92,False
23,--ekDLDTUXA,32.88,False
24,--ekDLDTUXA,33.84,False
25,--ekDLDTUXA,34.8,False
26,--ekDLDTUXA,35.76,False
27,--ekDLDTUXA,36.72,False
28,--ekDLDTUXA,37.68,False
29,--ekDLDTUXA,38.64,False
30,--aE2O5G5WE,0.0,False
31,--aE2O5G5WE,0.96,False
32,--aE2O5G5WE,1.92,False
33,--aE2O5G5WE,2.88,False
34,--aE2O5G5WE,3.84,False
35,--aE2O5G5WE,4.8,False
36,--aE2O5G5WE,5.76,False
37,--aE2O5G5WE,6.72,False
38,--aE2O5G5WE,7.68,False
39,--aE2O5G5WE,8.64,False
40,--aaILOrkII,200.0,False
41,--aaILOrkII,200.96,False
42,--aaILOrkII,201.92,False
43,--aaILOrkII,202.88,False
44,--aaILOrkII,203.84,False
45,--aaILOrkII,204.8,False
46,--aaILOrkII,205.76,False
47,--aaILOrkII,206.72,False
48,--aaILOrkII,207.68,False
49,--aaILOrkII,208.64,False
50,--ZhevVpy1s,50.0,False
51,--ZhevVpy1s,50.96,False
52,--ZhevVpy1s,51.92,False
53,--ZhevVpy1s,52.88,False
54,--ZhevVpy1s,53.84,False
55,--ZhevVpy1s,54.8,False
56,--ZhevVpy1s,55.76,False
57,--ZhevVpy1s,56.72,False
58,--ZhevVpy1s,57.68,False
59,--ZhevVpy1s,58.64,False
60,--aO5cdqSAg,30.0,False
61,--aO5cdqSAg,30.96,False
62,--aO5cdqSAg,31.92,False
63,--aO5cdqSAg,32.88,False
64,--aO5cdqSAg,33.84,False
65,--aO5cdqSAg,34.8,False
66,--aO5cdqSAg,35.76,False
67,--aO5cdqSAg,36.72,False
68,--aO5cdqSAg,37.68,False
69,--aO5cdqSAg,38.64,False
70,-0DLPzsiXXE,30.0,False
71,-0DLPzsiXXE,30.96,False
72,-0DLPzsiXXE,31.92,False
73,-0DLPzsiXXE,32.88,False
74,-0DLPzsiXXE,33.84,False
75,-0DLPzsiXXE,34.8,False
76,-0DLPzsiXXE,35.76,False
77,-0DLPzsiXXE,36.72,False
78,-0DLPzsiXXE,37.68,False
79,-0DLPzsiXXE,38.64,False
80,-0FHUc78Gqo,30.0,False
81,-0FHUc78Gqo,30.96,False
82,-0FHUc78Gqo,31.92,False
83,-0FHUc78Gqo,32.88,False
84,-0FHUc78Gqo,33.84,False
85,-0FHUc78Gqo,34.8,False
86,-0FHUc78Gqo,35.76,False
87,-0FHUc78Gqo,36.72,False
88,-0FHUc78Gqo,37.68,False
89,-0FHUc78Gqo,38.64,False
90,-0O3e95y4gE,100.0,False
91,-0O3e95y4gE,100.96,False
92,-0O3e95y4gE,101.92,False
93,-0O3e95y4gE,102.88,False
94,-0O3e95y4gE,103.84,False
95,-0O3e95y4gE,104.8,False
96,-0O3e95y4gE,105.76,False
97,-0O3e95y4gE,106.72,False
98,-0O3e95y4gE,107.68,False
99,-0O3e95y4gE,108.64,False
100,-0mG4W5Hlq8,270.0,False
101,-0mG4W5Hlq8,270.96,False
102,-0mG4W5Hlq8,271.92,False
103,-0mG4W5Hlq8,272.88,False
104,-0mG4W5Hlq8,273.84,False
105,-0mG4W5Hlq8,274.8,False
106,-0mG4W5Hlq8,275.76,False
107,-0mG4W5Hlq8,276.72,False
108,-0mG4W5Hlq8,277.68,False
109,-0mG4W5Hlq8,278.64,False
110,-0DdlOuIFUI,50.0,False
111,-0DdlOuIFUI,50.96,False
112,-0DdlOuIFUI,51.92,False
113,-0DdlOuIFUI,52.88,False
114,-0DdlOuIFUI,53.84,False
115,-0DdlOuIFUI,54.8,False
116,-0DdlOuIFUI,55.76,False
117,-0DdlOuIFUI,56.72,False
118,-0DdlOuIFUI,57.68,False
