,video_id,time_stamp,speech_present
10,--PJHxphWEs,30.0,False
11,--PJHxphWEs,30.96,False
12,--PJHxphWEs,31.92,False
13,--PJHxphWEs,32.88,False
14,--PJHxphWEs,33.84,False
15,--PJHxphWEs,34.8,False
16,--PJHxphWEs,35.76,False
17,--PJHxphWEs,36.72,False
18,--PJHxphWEs,37.68,False
19,--PJHxphWEs,38.64,False
20,--ekDLDTUXA,30.0,False
21,--ekDLDTUXA,30.96,False
22,--ekDLDTUXA,31.92,False
23,--ekDLDTUXA,32.88,False
24,--ekDLDTUXA,33.84,False
25,--ekDLDTUXA,34.8,False
26,--ekDLDTUXA,35.76,False
27,--ekDLDTUXA,36.72,False
28,--ekDLDTUXA,37.68,False
29,--ekDLDTUXA,38.64,False
40,--aaILOrkII,200.0,False
41,--aaILOrkII,200.96,False
42,--aaILOrkII,201.92,False
43,--aaILOrkII,202.88,False
44,--aaILOrkII,203.84,False
45,--aaILOrkII,204.8,False
46,--aaILOrkII,205.76,False
47,--aaILOrkII,206.72,False
48,--aaILOrkII,207.68,False
49,--aaILOrkII,208.64,False
90,-0O3e95y4gE,100.0,False
91,-0O3e95y4gE,100.96,False
92,-0O3e95y4gE,101.92,False
93,-0O3e95y4gE,102.88,False
94,-0O3e95y4gE,103.84,False
95,-0O3e95y4gE,104.8,False
96,-0O3e95y4gE,105.76,False
97,-0O3e95y4gE,106.72,False
98,-0O3e95y4gE,107.68,False
99,-0O3e95y4gE,108.64,False
170,-1iKLvsRBbE,80.0,False
171,-1iKLvsRBbE,80.96,False
172,-1iKLvsRBbE,81.92,False
173,-1iKLvsRBbE,82.88,False
174,-1iKLvsRBbE,83.84,False
175,-1iKLvsRBbE,84.8,False
176,-1iKLvsRBbE,85.76,False
177,-1iKLvsRBbE,86.72,False
178,-1iKLvsRBbE,87.68,False
179,-1iKLvsRBbE,88.64,False
210,-275_wTLm-4,7.0,False
211,-275_wTLm-4,7.96,False
212,-275_wTLm-4,8.92,False
213,-275_wTLm-4,9.88,False
214,-275_wTLm-4,10.84,False
215,-275_wTLm-4,11.8,False
216,-275_wTLm-4,12.76,False
217,-275_wTLm-4,13.72,False
218,-275_wTLm-4,14.68,False
219,-275_wTLm-4,15.64,False
220,-2X03mO3T_U,30.0,False
221,-2X03mO3T_U,30.96,False
222,-2X03mO3T_U,31.92,False
223,-2X03mO3T_U,32.88,False
224,-2X03mO3T_U,33.84,False
225,-2X03mO3T_U,34.8,False
226,-2X03mO3T_U,35.76,False
227,-2X03mO3T_U,36.72,False
